obdb_id,brewery_name,brewery_type,street,city,state,postal_code,website_url,longitude,latitude,brewery_id
,(512) Brewing Company,,,,,,,,,0
,10 Barrel Brewing Co.,,,,,,,,,1
,14th Star Brewing Co.,,,,,,,,,2
,18th Street Brewery - Gary Taproom,,,,,,,,,3
,1940's Brewing Company,,,,,,,,,4
,21st Amendment Brewery,,,,,,,,,5
,2nd Shift Brewing,,,,,,,,,6
,3 Cordilleras,,,,,,,,,7
,3 Floyds Brewing Co.,,,,,,,,,8
,3 Nations Brewing Co.,,,,,,,,,9
,3 Sheeps Brewing,,,,,,,,,10
,33 Acres Brewing Co.,,,,,,,,,11
,4 Hands Brewing Co.,,,,,,,,,12
,4204 Main Street Brewing Co.,,,,,,,,,13
,4th Tap Brewing Co-op,,,,,,,,,14
,5 Rabbit Cerveceria,,,,,,,,,15
,8 Wired Brewing Co.,,,,,,,,,16
8th-wonder-brewery-houston,8th Wonder Brewery,micro,2202 Dallas St,Houston,Texas,77003-3519,http://www.8thwonderbrew.com,-95.3559402,29.7487783,17
,AC Golden Brewing Company,,,,,,,,,18
,Aarhus Bryghus,,,,,,,,,19
,Aass Brewery,,,,,,,,,20
,"Abashiri, K.K.",,,,,,,,,21
,Abbaye de Leffe S.A.,,,,,,,,,22
,Abbey Brewing Co. (Monastery Of Christ In The Desert),,,,,,,,,23
,Abita Brewing Co.,,,,,,,,,24
,Adams Street Brewery,,,,,,,,,25
,Adelbert's Brewery,,,,,,,,,26
,"Adnams plc, Sole Bay Brewery",,,,,,,,,27
,Adroit Theory Brewing Company,,,,,,,,,28
aeronaut-brewing-company-somerville,Aeronaut Brewing Company,micro,14 Tyler St,Somerville,Massachusetts,02143-3224,http://www.aeronautbrewing.com,-71.1062676,42.3819723,29
,Against The Grain Brewery & Smokehouse,,,,,,,,,30
,Ahnapee Brewery,,,,,,,,,31
,Aktienbrauerei Kaufbeuren AG,,,,,,,,,32
,Alamo Beer Co.,,,,,,,,,33
alaskan-brewing-co-juneau,Alaskan Brewing Co.,regional,5429 Shaune Dr,Juneau,Alaska,99801-9540,http://www.alaskanbeer.com,-134.4918763,58.35681231,34
,Alaus Darykla Kalnapilis,,,,,,,,,35
,Aldaris,,,,,,,,,36
ale-asylum-madison,Ale Asylum,regional,2002 Pankratz St,Madison,Wisconsin,53704-4024,http://www.aleasylum.com,-89.35416285,43.12046815,37
,AleSmith Brewing Company,,,,,,,,,38
,Alewerks Brewing Company,,,,,,,,,39
,Alexander Keith's,,,,,,,,,40
,All Saints Brewing Company,,,,,,,,,41
,All Stars Bakery,,,,,,,,,42
,All or Nothing Brewhouse,,,,,,,,,43
,Allagash Brewing Company,,,,,,,,,44
allentown-brew-works-allentown,Allentown Brew Works,brewpub,812 Hamilton St,Allentown,Pennsylvania,18101-2437,http://www.thebrewworks.com,-75.4575021,40.6060468,45
,Alltech's Lexington Brewing and Distilling Co.,,,,,,,,,46
,Almanac Beer Co.,,,,,,,,,47
alpine-beer-company-san-diego,Alpine Beer Company,brewpub,6550 Mira Mesa Blvd,San Diego,California,92121-4100,http://www.alpinebrewing.com,-117.113975,32.9167796,48
,Alvarado Street Brewery,,,,,,,,,49
,Amarcord Birra Artigianale Italiana,,,,,,,,,50
american-solera-tulsa,American Solera,micro,1702 E 6th St,Tulsa,Oklahoma,74104,http://www.americansolera.com,-95.9667403,36.1518928,51
,Amstel Brouwerij B. V.,,,,,,,,,52
,Anadolu Efes Brewery,,,,,,,,,53
anaheim-brewery-anaheim,Anaheim Brewery,micro,336 S Anaheim Blvd,Anaheim,California,92805-3830,http://www.anaheimbrew.com,-117.9125249,33.8328226,54
,Anchor Brewing Company,,,,,,,,,55
,Anchorage Brewing Company,,,,,,,,,56
,Andean Brewing Company / Nap Time Liquid Creation,,,,,,,,,57
,Anderson Valley Brewing Company,,,,,,,,,58
,Angry Chair Brewing,,,,,,,,,59
,Anheuser-Busch,,,,,,,,,60
,Ankerbräu Nördlingen,,,,,,,,,61
,Anthem Brewing Company,,,,,,,,,62
,Antlabräu,,,,,,,,,63
,Antwerpse Brouw Compagnie N.V.,,,,,,,,,64
apocalypse-ale-works-forest,Apocalypse Ale Works,micro,1257 Burnbridge Rd,Forest,Virginia,24551-3803,http://www.apocalypsebrewworks.com,-79.28917899,37.36302124,65
,Apostelbräu,,,,,,,,,66
,Appalachian Brewing Company,,,,,,,,,67
,Arcadia Brewing Company,,,,,,,,,68
,Arcense Stoombierbouwerij (Hertog Jan Brouwerij),,,,,,,,,69
,Arcobräu Gräfliches Brauhaus,,,,,,,,,70
ardent-craft-ales-richmond,Ardent Craft Ales,micro,3200 W Leigh St,Richmond,Virginia,23230-4410,http://www.ardentcraftales.com,-77.47201237,37.5684425,71
armadillo-ale-works-denton,Armadillo Ale Works,micro,221 S Bell Ave,Denton,Texas,76201-4259,http://www.armadilloaleworks.com,-97.12830051,33.21286666,72
,Arrogant Consortia,,,,,,,,,73
,Asahi Breweries Ltd,,,,,,,,,74
,Asheville Brewing Company,,,,,,,,,75
,Asia Pacific Breweries Limited,,,,,,,,,76
,Aslin Beer Company,,,,,,,,,77
,Athletic Brewing Co.,,,,,,,,,78
,Atlantic Brewing Company,,,,,,,,,79
,Atlantic Brewing Company / Mainely Meat BBQ,,,,,,,,,80
,Atlas Brew Works,,,,,,,,,81
,Atwater Brewery,,,,,,,,,82
,August Schell Brewing Company,,,,,,,,,83
,Augustiner-Bräu,,,,,,,,,84
austin-beerworks-austin,Austin Beerworks,regional,3001 Industrial Ter,Austin,Texas,78758-7609,http://www.austinbeerworks.com,-97.72984444,30.3795705,85
,Avery Brewing Company,,,,,,,,,86
aviator-brewing-company-fuquay-varina,Aviator Brewing Company,regional,209 Technology Park Ln,Fuquay Varina,North Carolina,27526-9311,http://www.aviatorbrew.com,-78.8073896,35.61695983,87
,Ayinger Privatbrauerei,,,,,,,,,88
,B.W. Beer Works USA,,,,,,,,,89
,BFM (Brasserie des Franches-Montagnes),,,,,,,,,90
,BJ's Chicago Pizza & Brewery Inc.,,,,,,,,,91
,BJ's Restaurant & Brewhouse,,,,,,,,,92
,BOMBrewery,,,,,,,,,93
,BOSS Browar Witnica S.A.,,,,,,,,,94
bs-brewing-seguin,BS Brewing,micro,1408 Old Lehmann Rd,Seguin,Texas,78155-5048,http://www.bsbrewingtx.com,-97.90477894,29.69091561,95
,Back Forty Beer Co.,,,,,,,,,96
,Back Pew Brewing Company,,,,,,,,,97
,Backpocket Brewing,,,,,,,,,98
,"Badger Brewery, Hall and Woodhouse",,,,,,,,,99
,Badische Staatsbrauerei Rothaus AG,,,,,,,,,100
,Bahamian Brewery Beverage & Co. Ltd.,,,,,,,,,101
,Baird Brewing Company / Fishmarket Taproom,,,,,,,,,102
ballad-brewing-danville,Ballad Brewing,micro,600 Craghead St,Danville,Virginia,24541-1504,http://www.balladbrewing.com,-79.386371,36.584786,103
ballast-point-brewing-company-anaheim,Ballast Point Brewing Company,planning,,Anaheim,California,92802-2294,,-117.911732,33.8347516,104
ballast-point-brewing-company-long-beach,Ballast Point Brewing Company,large,110 N Marina Dr,Long Beach,California,90803-4601,http://www.ballastpoint.com,-118.114751,33.7464176,104
ballast-point-brewing-company-san-diego-1,Ballast Point Brewing Company,large,9045 Carroll Way,San Diego,California,92121-2405,http://www.ballastpoint.com,-117.1587251,32.88798083,104
ballast-point-brewing-company-san-diego-2,Ballast Point Brewing Company,large,7606 Trade St,San Diego,California,92121-2405,,-117.157081,32.889641,104
ballast-point-brewing-company-daleville,Ballast Point Brewing Company,large,555 International Pkwy,Daleville,Virginia,24083-3028,,-79.91380298,37.43575624,104
,Baltika Breweries,,,,,,,,,105
,Band of Bohemia,,,,,,,,,106
,Banger Brewing,,,,,,,,,107
,Banks's Park Brewery,,,,,,,,,108
bar-hygge-brewery-techne-philadelphia,Bar Hygge / Brewery Techne,brewpub,1720 Fairmount Ave,Philadelphia,Pennsylvania,19130-2858,,-75.16567302,39.96707286,109
,Barley Brown's Brewpub,,,,,,,,,110
barnstable-brewing-hyannis,Barnstable Brewing,micro,485 W Main St,Hyannis,Massachusetts,02601-3644,http://www.barnstablebrewing.com,-70.31159594,41.64913517,111
,Barrel + Beam,,,,,,,,,112
,Barreled Souls Brewing Company,,,,,,,,,113
,Barrier Brewing Company,,,,,,,,,114
,Bass Brewers Limited,,,,,,,,,115
,Batch Brewing Company,,,,,,,,,116
bauhaus-brew-labs-minneapolis,Bauhaus Brew Labs,micro,1315 Tyler St NE,Minneapolis,Minnesota,55413-1530,http://bauhausbrewlabs.com,-93.237365,45.042082,117
,Baxter Brewing Co.,,,,,,,,,118
,Bayerische Staatsbrauerei Weihenstephan,,,,,,,,,119
,"Bayern Brewing, Inc. / Edelweiss Bistro",,,,,,,,,120
,Bayou Teche Brewery,,,,,,,,,121
,Bayreuther Bierbrauerei,,,,,,,,,122
,Beachwood BBQ & Brewing,,,,,,,,,123
,Beacon Hotel (Sarah Hughes Brewery),,,,,,,,,124
,Beamish & Crawford Plc.,,,,,,,,,125
,Bear Republic Brewing Co.,,,,,,,,,126
,BearWaters Brewing Co.,,,,,,,,,127
,Beau's All Natural Brewing Company,,,,,,,,,128
,Beaver Brewing Company,,,,,,,,,129
,Beavertown Brewery,,,,,,,,,130
,Beer Here,,,,,,,,,131
,Beijing Yanjing Beer Group Corporation,,,,,,,,,132
belching-beaver-brewery-oceanside,Belching Beaver Brewery,regional,1334 Rocky Point Dr,Oceanside,California,92056-5864,,-117.292416,33.2139275,133
,Belhaven Brewery Company Ltd.,,,,,,,,,134
,Bell's Brewery - Eccentric Café & General Store,,,,,,,,,135
benchtop-brewing-company-norfolk,Benchtop Brewing Company,micro,1129 Boissevain Ave,Norfolk,Virginia,23507-1401,http://www.benchtopbrewing.com,-76.30742245,36.86493389,136
,Bend Brewing Company,,,,,,,,,137
,Bent Paddle Brewing Co.,,,,,,,,,138
,Bent River Brewing Company,,,,,,,,,139
,Berkshire Brewing Company Inc.,,,,,,,,,140
,Berliner Kindl Brauerei,,,,,,,,,141
,Bernard Family Brewery,,,,,,,,,142
,Berryessa Brewing Co,,,,,,,,,143
,Bevog Brewery,,,,,,,,,144
,BiXi Beer,,,,,,,,,145
,Bierbrouwerij De Koningshoeven B.V.,,,,,,,,,146
,Bierbrouwerij Sint Christoffel B.V,,,,,,,,,147
,Big Boss Brewing,,,,,,,,,148
,Big City Brewing CO LTD,,,,,,,,,149
,Big Rock Brewery,,,,,,,,,150
,Big Sky Brewing Company,,,,,,,,,151
,Big Storm Brewing Company - Odessa,,,,,,,,,152
,Big Time Brewery & Alehouse,,,,,,,,,153
,Big Woods Brewing Co. / Quaff On! Brewing Company,,,,,,,,,154
,Binding-Brauerei AG,,,,,,,,,155
,Birds Fly South Ale Project,,,,,,,,,156
,Birdsong Brewing,,,,,,,,,157
,Birra Del Borgo,,,,,,,,,158
,Birra Menabrea SpA,,,,,,,,,159
,Birra Moretti (Heineken),,,,,,,,,160
,Birra Peroni Industriale S.p.A.,,,,,,,,,161
,Birrificio Del Ducato,,,,,,,,,162
,Birrificio Italiano,,,,,,,,,163
,Birrificio Le Baladin,,,,,,,,,164
,Birrificio Ticinese,,,,,,,,,165
,Bison Brewing,,,,,,,,,166
,Bissell Brothers Brewing Co.,,,,,,,,,167
,Bitburger Brauerei,,,,,,,,,168
,Bières de Chimay,,,,,,,,,169
,Black Acre Brewing Co.,,,,,,,,,170
,Black Creek Historic Brewery,,,,,,,,,171
,Black Husky Brewing,,,,,,,,,172
,Black Market Brewing Co.,,,,,,,,,173
,Black Raven Brewing Co.,,,,,,,,,174
,Black Sheep Brewery PLC,,,,,,,,,175
,Black Toad Brewing Co.,,,,,,,,,176
blackrocks-brewery-marquette,Blackrocks Brewery,micro,424 N 3rd St,Marquette,Michigan,49855-3555,http://www.blackrocksbrewery.com,-87.39462133,46.5464589,177
,Blackstone Brewing Company,,,,,,,,,178
,Blindman Brewing,,,,,,,,,179
,Blitz-Weinhard Brewing Co.,,,,,,,,,180
,Block 15 Brewery & Restaurant,,,,,,,,,181
,Blue Mountain Brewery,,,,,,,,,182
,Blue Point Brewing Company,,,,,,,,,183
,Bog Iron Brewing,,,,,,,,,184
,Bokke,,,,,,,,,185
bold-city-brewery-jacksonville-2,Bold City Brewery,micro,109 E Bay St,Jacksonville,Florida,32202-3414,http://www.boldcitybrewery.com,-81.656519,30.326002,186
,Bonfire Brewing Co.,,,,,,,,,187
,"Boon Rawd Brewery Co., Ltd",,,,,,,,,188
,Bootlegger's Brewery,,,,,,,,,189
,Borodino ZAO,,,,,,,,,190
,Boston Beer Company (Samuel Adams),,,,,,,,,191
,Boston Beer Works - Canal Street,,,,,,,,,192
bottle-logic-brewing-anaheim,Bottle Logic Brewing,micro,1072 N Armando St,Anaheim,California,92806-2605,http://www.bottlelogic.com,-117.8597226,33.8495705,193
,BottleTree Beer Co.,,,,,,,,,194
,Boulder Beer / Wilderness Pub,,,,,,,,,195
,Boulevard Brewing Co.,,,,,,,,,196
,Bouquet Of Chuvashia (Cheboksarskaya Pivovariya),,,,,,,,,197
,Box Steam Brewery,,,,,,,,,198
,Boxcar Brewing Company,,,,,,,,,199
,Brains,,,,,,,,,200
,Brasserie 3 MONTS,,,,,,,,,201
,Brasserie Almaza S.A.L.,,,,,,,,,202
,Brasserie Artisanale De Rulles SPRL,,,,,,,,,203
,Brasserie Artisanale Maltstrom,,,,,,,,,204
,Brasserie Au Baron,,,,,,,,,205
