Placement,Beer Name,Avg IBU,Brewery,Beer Type
1,Hoptimum,82.5,Sierra Nevada Brewing Co.,IPA - Imperial
2,Lake Erie Monster,82.5,Great Lakes Brewing Co.,IPA - Imperial
3,Pliny The Younger,82.5,Russian River Brewing Company,IPA - Imperial
4,Unearthly (Imperial India Pale Ale),82.5,Southern Tier Brewing Company,IPA - Imperial
5,Permanent Funeral,82.5,3 Floyds Brewing Co.,IPA - Imperial
6,A Little Sumpin' Extra! Ale,82.5,Lagunitas Brewing Company,IPA - Imperial
7,Myrcenary Double IPA,82.5,Odell Brewing Company,IPA - Imperial
8,Gubna,82.5,Oskar Blues Grill & Brew,IPA - Imperial
9,G-Bot,82.5,New England Brewing Co.,IPA - Imperial
10,Dorado,82.5,Ballast Point Brewing Company,IPA - Imperial
