Placement,Beer Name,Bitterness,Brewery,Beer Type
1,Earl Coffee Oatmeal Stout,150,Hill Farmstead Brewery,Stout - Oatmeal
2,Black Racer,148,Bear Republic Brewing Co.,IPA - Black / Cascadian Dark Ale
3,Java Stout,146,Bell's Brewery - Eccentric Café & General Store,Stout - American
4,Heavy Seas Black Cannon,145,Heavy Seas Beer,IPA - Black / Cascadian Dark Ale
5,Regular Coffee,144,Carton Brewing Company,Cream Ale
6,Hop In The Dark Cascadian Dark Ale,144,Deschutes Brewery,IPA - Black / Cascadian Dark Ale
7,BREWtality - Espresso Black Bier,143,Midnight Sun Brewing Co.,Lager - Schwarzbier
8,Cherry Bean Coffee Stout,140,Brau Brothers Brewing Co. LLC,Stout - Foreign / Export
9,The Devil Made Me Do It!,139,Tyranena Brewing Company,Porter - Imperial
10,Coffee Bender,139,Surly Brewing Company,Brown Ale - American
