Placement,Beer Name,Ave Rating,Brewery,Beer Type
1,eisbock,4.83,Kulmbacher Kommunbräu,Bock - Eisbock
2,Marshmallow Handjee,4.81,3 Floyds Brewing Co.,Stout - Russian Imperial
3,Heady Topper,4.76,The Alchemist,IPA - New England
4,King Julius,4.76,Tree House Brewing Company,IPA - New England
5,Zenne Y Frontera,4.75,Brouwerij 3 Fonteinen,Lambic - Traditional
6,Very Hazy,4.75,Tree House Brewing Company,IPA - New England
7,Pliny The Younger,4.75,Russian River Brewing Company,IPA - Imperial
8,Drone Witch,4.74,Heirloom Rustic Ales,Bière de Champagne / Bière Brut
9,Bourbon County Brand Coffee Stout,4.73,Goose Island Beer Co.,Stout - American Imperial
10,Juice Machine,4.71,Tree House Brewing Company,IPA - New England
