Placement,Beer Name,Saltiness,Brewery,Beer Type
1,Gozu,66,Westbrook Brewing Co.,Sour - Gose
2,Hitachino Nest Anbai Ale,64,Kiuchi Brewery,Sour - Gose
3,Old Pro,60,Union Craft Brewing Company,Sour - Gose
4,26.2 BrewBoston Beer Company (Samuel Adams),51,Boston Beer Company (Samuel Adams),Sour - Gose
5,Gose,48,Upright Brewing Company,Sour - Gose
6,Salty Scot,47,Parallel 49 Brewing Company,Scotch Ale / Wee Heavy
7,Suburban Beverage,46,Perennial Artisan Ales,Sour - Gose
8,Original ,44,Ritterguts Gose,Sour - Gose
9,Harborside,43,Night Shift Brewing,Sour - Gose
10,Golden Gate Gose,41,Almanac Beer Co.,Sour - Gose
