Placement,Beer Name,Sourness,Brewery,Beer Type
1,Sour In The Rye - Kumquats,323,Bruery Terreux,Wild Ale
2,Sour Reserve,284,Upland Brewing Company,Lambic - Gueuze
3,Gozu,270,Westbrook Brewing Co.,Sour - Gose
4,Experimental Raspberry,241,Hanssens Artisanaal bvba,Lambic - Fruit
5,Incorrigible,241,New Holland Brewing Company,Sour - Berliner Weisse
6,La Roja - Grand Reserve,238,Jolly Pumpkin Artisan Ales,Sour - Flanders Red Ale
7,Lambic,233,Rivertown Brewery & Barrel House,Lambic - Traditional
8,Persimmon Lambic,233,Upland Brewing Company,Lambic - Fruit
9,Old Growth,230,Trinity Brewing Company,Sour - Flanders Oud Bruin
10,Oude Geuze De Cam,229,De Cam Geuzestekerij,Lambic - Gueuze
