Placement,Beer Name,Sweetness,Brewery,Beer Type
1,Braggot,263,Kuhnhenn Brewing Company,Braggot
2,Double Or Nothing,238,Otter Creek Brewing,Barleywine - American
3,Box Of Chocolate,219,Charleville Vineyard Microbrewery,Quadrupel (Quad)
4,Équinoxe Du Printemps,217,Brasserie Dieu du Ciel!,Scotch Ale / Wee Heavy
5,Dark Heathen Triple Bock,216,Kuhnhenn Brewing Company,Bock - Doppelbock
6,Brother Adam's Bragget Ale,209,Atlantic Brewing Company / Mainely Meat BBQ,Braggot
7,Moment Of Clarity,208,Tree House Brewing Company,Stout - Sweet / Milk
8,Barmy,206,Ballast Point Brewing Company,Strong Ale - American
9,Hive 56,205,Allagash Brewing Company,Brown Ale - Belgian Dark
10,Serendipity,204,New Glarus Brewing Company,Fruit and Field Beer
